acc_train,acc_val,loss_train,loss_val,layers_units,learning_rate
"[0.05242500081658363, 0.10215000063180923, 0.12815000116825104, 0.14567500352859497, 0.1576250046491623, 0.16830000281333923, 0.1754000037908554]","[0.08320000022649765, 0.10679999738931656, 0.12280000001192093, 0.14090000092983246, 0.15139999985694885, 0.15039999783039093, 0.16539999842643738]","[4.330202102661133, 3.9597957134246826, 3.812896966934204, 3.718005895614624, 3.6488592624664307, 3.5903942584991455, 3.540900468826294]","[4.071753978729248, 3.9146463871002197, 3.799015522003174, 3.7308640480041504, 3.678373098373413, 3.659055471420288, 3.598281145095825]","[128, 128]",0.0001
"[0.0562250018119812, 0.08834999799728394, 0.10014999657869339, 0.1109749972820282, 0.12020000070333481, 0.1276250034570694, 0.13439999520778656]","[0.08049999922513962, 0.08269999921321869, 0.0989999994635582, 0.11580000072717667, 0.12530000507831573, 0.12729999423027039, 0.12720000743865967]","[4.177326679229736, 3.9173922538757324, 3.836773157119751, 3.767982006072998, 3.707718849182129, 3.6632819175720215, 3.6310975551605225]","[3.9848639965057373, 3.9268760681152344, 3.855212450027466, 3.76946759223938, 3.718902349472046, 3.7087976932525635, 3.714002847671509]","[128, 128]",0.001
"[0.009875000454485416, 0.009399999864399433, 0.009750000201165676, 0.00917499978095293, 0.010824999772012234, 0.009475000202655792, 0.00925000011920929]","[0.010400000028312206, 0.008799999952316284, 0.007699999958276749, 0.008700000122189522, 0.008500000461935997, 0.008500000461935997, 0.010900000110268593]","[4.659067630767822, 4.610253810882568, 4.6103057861328125, 4.610194683074951, 4.6105170249938965, 4.610352039337158, 4.610167026519775]","[4.6091132164001465, 4.609975814819336, 4.61077880859375, 4.61161470413208, 4.610770225524902, 4.612575531005859, 4.6105146408081055]","[128, 128]",0.01
"[0.06622499972581863, 0.11554999649524689, 0.14675000309944153, 0.1610250025987625, 0.17742499709129333, 0.18837499618530273, 0.19702500104904175]","[0.09440000355243683, 0.13410000503063202, 0.1460999995470047, 0.1632000058889389, 0.1679999977350235, 0.1745000034570694, 0.18610000610351562]","[4.208313941955566, 3.8446531295776367, 3.687493324279785, 3.5959858894348145, 3.5191843509674072, 3.4562885761260986, 3.4006054401397705]","[3.9831039905548096, 3.7761077880859375, 3.6719014644622803, 3.604910135269165, 3.5667243003845215, 3.5162174701690674, 3.45988392829895]","[128, 512]",0.0001
"[0.03175000101327896, 0.045375000685453415, 0.05000000074505806, 0.0541750006377697, 0.06667499989271164, 0.07760000228881836, 0.08009999990463257]","[0.04010000079870224, 0.04859999939799309, 0.05620000138878822, 0.06360000371932983, 0.07540000230073929, 0.07779999822378159, 0.08030000329017639]","[4.342349052429199, 4.167749404907227, 4.137807846069336, 4.106735706329346, 4.02357292175293, 3.959578037261963, 3.932960271835327]","[4.2222137451171875, 4.149667263031006, 4.134647369384766, 4.095604419708252, 4.004549026489258, 3.96811842918396, 3.965998411178589]","[128, 512]",0.001
"[0.009475000202655792, 0.010425000451505184, 0.009575000032782555, 0.009475000202655792, 0.00925000011920929, 0.009325000457465649, 0.009499999694526196]","[0.007699999958276749, 0.010200000368058681, 0.008700000122189522, 0.009100000374019146, 0.008700000122189522, 0.008299999870359898, 0.008700000122189522]","[4.672682762145996, 4.610220432281494, 4.61079740524292, 4.610599040985107, 4.610244274139404, 4.610374450683594, 4.610443592071533]","[4.611494064331055, 4.611866474151611, 4.61195707321167, 4.610142707824707, 4.61308479309082, 4.6106157302856445, 4.610635757446289]","[128, 512]",0.01
"[0.07167500257492065, 0.13157500326633453, 0.15940000116825104, 0.17755000293254852, 0.19322499632835388, 0.2071000039577484, 0.2202499955892563]","[0.10939999669790268, 0.1395999938249588, 0.1632000058889389, 0.18050000071525574, 0.1842000037431717, 0.19140000641345978, 0.20080000162124634]","[4.146899223327637, 3.756810188293457, 3.600994825363159, 3.496255874633789, 3.4123809337615967, 3.339791774749756, 3.274092674255371]","[3.88393235206604, 3.6995718479156494, 3.58670711517334, 3.5065460205078125, 3.4764328002929688, 3.416548728942871, 3.381899118423462]","[128, 1024]",0.0001
"[0.02095000073313713, 0.02655000053346157, 0.02810000069439411, 0.030150000005960464, 0.029924999922513962, 0.02954999916255474, 0.039650000631809235]","[0.022099999710917473, 0.032099999487400055, 0.03020000085234642, 0.031300000846385956, 0.03139999881386757, 0.03099999949336052, 0.0430000014603138]","[4.439986705780029, 4.351520538330078, 4.3325934410095215, 4.322014331817627, 4.31562614440918, 4.311744689941406, 4.23670768737793]","[4.393484115600586, 4.347794055938721, 4.33701229095459, 4.328842639923096, 4.328249454498291, 4.323355674743652, 4.21507453918457]","[128, 1024]",0.001
"[0.008750000037252903, 0.009925000369548798, 0.010049999691545963, 0.009200000204145908, 0.009475000202655792, 0.008899999782443047, 0.010324999690055847]","[0.008500000461935997, 0.008999999612569809, 0.00860000029206276, 0.010200000368058681, 0.008700000122189522, 0.01140000019222498, 0.008999999612569809]","[4.650928020477295, 4.610342502593994, 4.610403537750244, 4.610411167144775, 4.610317230224609, 4.610537052154541, 4.6103081703186035]","[4.611205101013184, 4.610230922698975, 4.611630439758301, 4.611188888549805, 4.610042095184326, 4.609886646270752, 4.610452651977539]","[128, 1024]",0.01
"[0.05482500046491623, 0.1051499992609024, 0.13432499766349792, 0.1560250073671341, 0.1699250042438507, 0.18287500739097595, 0.19462500512599945]","[0.09059999883174896, 0.10980000346899033, 0.13729999959468842, 0.15320000052452087, 0.16580000519752502, 0.1728000044822693, 0.181099995970726]","[4.288086891174316, 3.927008628845215, 3.76029372215271, 3.6473047733306885, 3.5651028156280518, 3.4926342964172363, 3.4297640323638916]","[4.048975944519043, 3.8765225410461426, 3.749605894088745, 3.6687300205230713, 3.6059741973876953, 3.5652687549591064, 3.526292085647583]","[512, 128]",0.0001
"[0.055399999022483826, 0.11677499860525131, 0.14274999499320984, 0.16134999692440033, 0.17419999837875366, 0.18627500534057617, 0.19634999334812164]","[0.09120000153779984, 0.12099999934434891, 0.13459999859333038, 0.15700000524520874, 0.17630000412464142, 0.17069999873638153, 0.17399999499320984]","[4.218553066253662, 3.794523000717163, 3.6337366104125977, 3.534383535385132, 3.4616315364837646, 3.4017202854156494, 3.351167917251587]","[3.9498019218444824, 3.7605557441711426, 3.6752917766571045, 3.594310998916626, 3.4899473190307617, 3.479013204574585, 3.478132724761963]","[512, 128]",0.001
